number-of-people	living-voivodeship	living-county	living-municipality	working-voivodeship	working-county	working-municipality
15	Dolnośląskie	Powiat głogowski	Głogów	Małopolskie	Powiat m.Kraków	Kraków
124	Dolnośląskie	Powiat głogowski	Głogów	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
11	Dolnośląskie	Powiat głogowski	Głogów	Śląskie	Powiat kłobucki	Kłobuck - miasto
56	Dolnośląskie	Powiat głogowski	Głogów	Śląskie	Powiat m.Bytom	Bytom
20	Dolnośląskie	Powiat głogowski	Głogów	Śląskie	Powiat m.Częstochowa	Częstochowa
13	Dolnośląskie	Powiat głogowski	Głogów	Śląskie	Powiat m.Jaworzno	Jaworzno
14	Dolnośląskie	Powiat głogowski	Głogów	Śląskie	Powiat m.Katowice	Katowice
14	Dolnośląskie	Powiat głogowski	Głogów	Śląskie	Powiat m.Tychy	Tychy
14	Dolnośląskie	Powiat głogowski	Głogów	Wielkopolskie	Powiat poznański	Komorniki
28	Dolnośląskie	Powiat głogowski	Głogów	Wielkopolskie	Powiat m.Leszno	Leszno
59	Dolnośląskie	Powiat głogowski	Głogów	Wielkopolskie	Powiat m.Poznań	Poznań
15	Dolnośląskie	Powiat głogowski	Głogów	Zachodniopomorskie	Powiat m.Szczecin	Szczecin
481	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat głogowski	Głogów
14	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat głogowski	Jerzmanowa
11	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat głogowski	Kotla
62	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat lubiński	Lubin
177	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat polkowicki	Polkowice - miasto
63	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat polkowicki	Polkowice - obszar wiejski
11	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat polkowicki	Radwanice
20	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat m.Legnica	Legnica
69	Dolnośląskie	Powiat głogowski	Głogów	Dolnośląskie	Powiat m.Wrocław	Wrocław
14	Dolnośląskie	Powiat głogowski	Głogów	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
268	Dolnośląskie	Powiat głogowski	Jerzmanowa	Dolnośląskie	Powiat głogowski	Głogów
76	Dolnośląskie	Powiat głogowski	Jerzmanowa	Dolnośląskie	Powiat lubiński	Lubin
212	Dolnośląskie	Powiat głogowski	Jerzmanowa	Dolnośląskie	Powiat polkowicki	Polkowice - miasto
92	Dolnośląskie	Powiat głogowski	Jerzmanowa	Dolnośląskie	Powiat polkowicki	Polkowice - obszar wiejski
25	Dolnośląskie	Powiat głogowski	Jerzmanowa	Dolnośląskie	Powiat m.Legnica	Legnica
41	Dolnośląskie	Powiat głogowski	Jerzmanowa	Dolnośląskie	Powiat m.Wrocław	Wrocław
317	Dolnośląskie	Powiat głogowski	Kotla	Dolnośląskie	Powiat głogowski	Głogów
10	Dolnośląskie	Powiat głogowski	Kotla	Dolnośląskie	Powiat głogowski	Głogów
25	Dolnośląskie	Powiat głogowski	Kotla	Dolnośląskie	Powiat lubiński	Lubin
54	Dolnośląskie	Powiat głogowski	Kotla	Dolnośląskie	Powiat polkowicki	Polkowice - miasto
13	Dolnośląskie	Powiat głogowski	Kotla	Dolnośląskie	Powiat polkowicki	Polkowice - obszar wiejski
29	Dolnośląskie	Powiat głogowski	Kotla	Dolnośląskie	Powiat m.Legnica	Legnica
36	Dolnośląskie	Powiat głogowski	Kotla	Dolnośląskie	Powiat m.Wrocław	Wrocław
12	Dolnośląskie	Powiat głogowski	Kotla	Lubuskie	Powiat wschowski	Sława - miasto
48	Dolnośląskie	Powiat głogowski	Kotla	Lubuskie	Powiat wschowski	Sława - obszar wiejski
161	Dolnośląskie	Powiat głogowski	Pęcław	Dolnośląskie	Powiat głogowski	Głogów
14	Dolnośląskie	Powiat głogowski	Pęcław	Dolnośląskie	Powiat lubiński	Lubin
33	Dolnośląskie	Powiat głogowski	Pęcław	Dolnośląskie	Powiat polkowicki	Polkowice - miasto
11	Dolnośląskie	Powiat głogowski	Pęcław	Dolnośląskie	Powiat polkowicki	Polkowice - obszar wiejski
10	Dolnośląskie	Powiat głogowski	Pęcław	Dolnośląskie	Powiat polkowicki	Radwanice
26	Dolnośląskie	Powiat głogowski	Pęcław	Dolnośląskie	Powiat m.Wrocław	Wrocław
247	Dolnośląskie	Powiat głogowski	Żukowice	Dolnośląskie	Powiat głogowski	Głogów
31	Dolnośląskie	Powiat głogowski	Żukowice	Dolnośląskie	Powiat lubiński	Lubin
60	Dolnośląskie	Powiat głogowski	Żukowice	Dolnośląskie	Powiat polkowicki	Polkowice - miasto
20	Dolnośląskie	Powiat głogowski	Żukowice	Dolnośląskie	Powiat polkowicki	Polkowice - obszar wiejski
24	Dolnośląskie	Powiat głogowski	Żukowice	Dolnośląskie	Powiat m.Legnica	Legnica
34	Dolnośląskie	Powiat głogowski	Żukowice	Dolnośląskie	Powiat m.Wrocław	Wrocław
10	Dolnośląskie	Powiat głogowski	Żukowice	Lubuskie	Powiat nowosolski	Nowa Sól
70	Dolnośląskie	Powiat górowski	Góra - miasto	Dolnośląskie	Powiat głogowski	Głogów
33	Dolnośląskie	Powiat górowski	Góra - miasto	Dolnośląskie	Powiat górowski	Góra - obszar wiejski
16	Dolnośląskie	Powiat górowski	Góra - miasto	Dolnośląskie	Powiat górowski	Jemielno
26	Dolnośląskie	Powiat górowski	Góra - miasto	Dolnośląskie	Powiat górowski	Niechlów
15	Dolnośląskie	Powiat górowski	Góra - miasto	Dolnośląskie	Powiat górowski	Wąsosz - miasto
39	Dolnośląskie	Powiat górowski	Góra - miasto	Dolnośląskie	Powiat lubiński	Lubin
20	Dolnośląskie	Powiat górowski	Góra - miasto	Dolnośląskie	Powiat polkowicki	Polkowice - miasto
24	Dolnośląskie	Powiat górowski	Góra - miasto	Dolnośląskie	Powiat wrocławski	Kobierzyce
17	Dolnośląskie	Powiat górowski	Góra - miasto	Dolnośląskie	Powiat m.Legnica	Legnica
238	Dolnośląskie	Powiat górowski	Góra - miasto	Dolnośląskie	Powiat m.Wrocław	Wrocław
20	Dolnośląskie	Powiat górowski	Góra - miasto	Lubuskie	Powiat wschowski	Wschowa - miasto
28	Dolnośląskie	Powiat górowski	Góra - miasto	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
20	Dolnośląskie	Powiat górowski	Góra - miasto	Wielkopolskie	Powiat leszczyński	Rydzyna - miasto
11	Dolnośląskie	Powiat górowski	Góra - miasto	Wielkopolskie	Powiat leszczyński	Święciechowa
24	Dolnośląskie	Powiat górowski	Góra - miasto	Wielkopolskie	Powiat rawicki	Rawicz - miasto
16	Dolnośląskie	Powiat górowski	Góra - miasto	Wielkopolskie	Powiat rawicki	Rawicz - obszar wiejski
221	Dolnośląskie	Powiat górowski	Góra - miasto	Wielkopolskie	Powiat m.Leszno	Leszno
49	Dolnośląskie	Powiat górowski	Góra - miasto	Wielkopolskie	Powiat m.Poznań	Poznań
23	Dolnośląskie	Powiat górowski	Góra - obszar wiejski	Dolnośląskie	Powiat głogowski	Głogów
379	Dolnośląskie	Powiat górowski	Góra - obszar wiejski	Dolnośląskie	Powiat górowski	Góra - miasto
21	Dolnośląskie	Powiat górowski	Góra - obszar wiejski	Dolnośląskie	Powiat górowski	Niechlów
13	Dolnośląskie	Powiat górowski	Góra - obszar wiejski	Dolnośląskie	Powiat górowski	Wąsosz - miasto
14	Dolnośląskie	Powiat górowski	Góra - obszar wiejski	Dolnośląskie	Powiat wrocławski	Kobierzyce
87	Dolnośląskie	Powiat górowski	Góra - obszar wiejski	Dolnośląskie	Powiat m.Wrocław	Wrocław
20	Dolnośląskie	Powiat górowski	Góra - obszar wiejski	Lubuskie	Powiat wschowski	Wschowa - miasto
23	Dolnośląskie	Powiat górowski	Góra - obszar wiejski	Śląskie	Powiat m.Bielsko-Biała	Bielsko-Biała
24	Dolnośląskie	Powiat górowski	Góra - obszar wiejski	Wielkopolskie	Powiat leszczyński	Rydzyna - miasto
27	Dolnośląskie	Powiat górowski	Góra - obszar wiejski	Wielkopolskie	Powiat leszczyński	Rydzyna - obszar wiejski
13	Dolnośląskie	Powiat górowski	Góra - obszar wiejski	Wielkopolskie	Powiat leszczyński	Święciechowa
22	Dolnośląskie	Powiat górowski	Góra - obszar wiejski	Wielkopolskie	Powiat rawicki	Rawicz - miasto
14	Dolnośląskie	Powiat górowski	Góra - obszar wiejski	Wielkopolskie	Powiat rawicki	Rawicz - obszar wiejski
219	Dolnośląskie	Powiat górowski	Góra - obszar wiejski	Wielkopolskie	Powiat m.Leszno	Leszno
16	Dolnośląskie	Powiat górowski	Góra - obszar wiejski	Wielkopolskie	Powiat m.Poznań	Poznań
12	Dolnośląskie	Powiat górowski	Jemielno	Dolnośląskie	Powiat głogowski	Głogów
82	Dolnośląskie	Powiat górowski	Jemielno	Dolnośląskie	Powiat górowski	Góra - miasto
16	Dolnośląskie	Powiat górowski	Jemielno	Dolnośląskie	Powiat górowski	Wąsosz - miasto
52	Dolnośląskie	Powiat górowski	Jemielno	Dolnośląskie	Powiat lubiński	Lubin
19	Dolnośląskie	Powiat górowski	Jemielno	Dolnośląskie	Powiat polkowicki	Polkowice - miasto
27	Dolnośląskie	Powiat górowski	Jemielno	Dolnośląskie	Powiat wrocławski	Kobierzyce
30	Dolnośląskie	Powiat górowski	Jemielno	Dolnośląskie	Powiat m.Wrocław	Wrocław
11	Dolnośląskie	Powiat górowski	Jemielno	Wielkopolskie	Powiat m.Leszno	Leszno
75	Dolnośląskie	Powiat górowski	Niechlów	Dolnośląskie	Powiat głogowski	Głogów
133	Dolnośląskie	Powiat górowski	Niechlów	Dolnośląskie	Powiat górowski	Góra - miasto
15	Dolnośląskie	Powiat górowski	Niechlów	Dolnośląskie	Powiat górowski	Góra - obszar wiejski
15	Dolnośląskie	Powiat górowski	Niechlów	Dolnośląskie	Powiat lubiński	Lubin
17	Dolnośląskie	Powiat górowski	Niechlów	Dolnośląskie	Powiat polkowicki	Polkowice - miasto
49	Dolnośląskie	Powiat górowski	Niechlów	Dolnośląskie	Powiat m.Wrocław	Wrocław
12	Dolnośląskie	Powiat górowski	Niechlów	Lubuskie	Powiat wschowski	Szlichtyngowa - miasto
26	Dolnośląskie	Powiat górowski	Niechlów	Lubuskie	Powiat wschowski	Wschowa - miasto
17	Dolnośląskie	Powiat górowski	Niechlów	Śląskie	Powiat m.Bielsko-Biała	Bielsko-Biała
11	Dolnośląskie	Powiat górowski	Niechlów	Wielkopolskie	Powiat leszczyński	Święciechowa
76	Dolnośląskie	Powiat górowski	Niechlów	Wielkopolskie	Powiat m.Leszno	Leszno
40	Dolnośląskie	Powiat górowski	Wąsosz - miasto	Dolnośląskie	Powiat górowski	Góra - miasto
17	Dolnośląskie	Powiat górowski	Wąsosz - miasto	Dolnośląskie	Powiat górowski	Wąsosz - obszar wiejski
27	Dolnośląskie	Powiat górowski	Wąsosz - miasto	Dolnośląskie	Powiat lubiński	Lubin
80	Dolnośląskie	Powiat górowski	Wąsosz - miasto	Dolnośląskie	Powiat m.Wrocław	Wrocław
24	Dolnośląskie	Powiat górowski	Wąsosz - miasto	Wielkopolskie	Powiat rawicki	Rawicz - miasto
19	Dolnośląskie	Powiat górowski	Wąsosz - miasto	Wielkopolskie	Powiat rawicki	Rawicz - obszar wiejski
51	Dolnośląskie	Powiat górowski	Wąsosz - obszar wiejski	Dolnośląskie	Powiat górowski	Góra - miasto
102	Dolnośląskie	Powiat górowski	Wąsosz - obszar wiejski	Dolnośląskie	Powiat górowski	Wąsosz - miasto
24	Dolnośląskie	Powiat górowski	Wąsosz - obszar wiejski	Dolnośląskie	Powiat lubiński	Lubin
13	Dolnośląskie	Powiat górowski	Wąsosz - obszar wiejski	Dolnośląskie	Powiat trzebnicki	Żmigród - miasto
12	Dolnośląskie	Powiat górowski	Wąsosz - obszar wiejski	Dolnośląskie	Powiat wołowski	Wińsko
10	Dolnośląskie	Powiat górowski	Wąsosz - obszar wiejski	Dolnośląskie	Powiat wołowski	Wołów - miasto
21	Dolnośląskie	Powiat górowski	Wąsosz - obszar wiejski	Dolnośląskie	Powiat wrocławski	Kobierzyce
89	Dolnośląskie	Powiat górowski	Wąsosz - obszar wiejski	Dolnośląskie	Powiat m.Wrocław	Wrocław
56	Dolnośląskie	Powiat górowski	Wąsosz - obszar wiejski	Wielkopolskie	Powiat rawicki	Rawicz - miasto
41	Dolnośląskie	Powiat górowski	Wąsosz - obszar wiejski	Wielkopolskie	Powiat rawicki	Rawicz - obszar wiejski
13	Dolnośląskie	Powiat górowski	Wąsosz - obszar wiejski	Wielkopolskie	Powiat m.Leszno	Leszno
22	Dolnośląskie	Powiat jaworski	Jawor	Dolnośląskie	Powiat jaworski	Bolków - miasto
181	Dolnośląskie	Powiat jaworski	Jawor	Dolnośląskie	Powiat jaworski	Męcinka
103	Dolnośląskie	Powiat jaworski	Jawor	Dolnośląskie	Powiat jaworski	Mściwojów
131	Dolnośląskie	Powiat jaworski	Jawor	Dolnośląskie	Powiat jaworski	Paszowice
12	Dolnośląskie	Powiat jaworski	Jawor	Dolnośląskie	Powiat jaworski	Wądroże Wielkie
39	Dolnośląskie	Powiat jaworski	Jawor	Dolnośląskie	Powiat legnicki	Legnickie Pole
21	Dolnośląskie	Powiat jaworski	Jawor	Dolnośląskie	Powiat lubiński	Lubin
27	Dolnośląskie	Powiat jaworski	Jawor	Dolnośląskie	Powiat polkowicki	Polkowice - miasto
10	Dolnośląskie	Powiat jaworski	Jawor	Dolnośląskie	Powiat średzki	Udanin
14	Dolnośląskie	Powiat jaworski	Jawor	Dolnośląskie	Powiat świdnicki	Świdnica
90	Dolnośląskie	Powiat jaworski	Jawor	Dolnośląskie	Powiat świdnicki	Dobromierz
34	Dolnośląskie	Powiat jaworski	Jawor	Dolnośląskie	Powiat świdnicki	Strzegom - miasto
52	Dolnośląskie	Powiat jaworski	Jawor	Dolnośląskie	Powiat świdnicki	Strzegom - obszar wiejski
22	Dolnośląskie	Powiat jaworski	Jawor	Dolnośląskie	Powiat wałbrzyski	Wałbrzych
148	Dolnośląskie	Powiat jaworski	Jawor	Dolnośląskie	Powiat wrocławski	Kobierzyce
13	Dolnośląskie	Powiat jaworski	Jawor	Dolnośląskie	Powiat złotoryjski	Złotoryja
541	Dolnośląskie	Powiat jaworski	Jawor	Dolnośląskie	Powiat m.Legnica	Legnica
273	Dolnośląskie	Powiat jaworski	Jawor	Dolnośląskie	Powiat m.Wrocław	Wrocław
33	Dolnośląskie	Powiat jaworski	Jawor	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
26	Dolnośląskie	Powiat jaworski	Jawor	Wielkopolskie	Powiat poznański	Dopiewo
56	Dolnośląskie	Powiat jaworski	Bolków - miasto	Dolnośląskie	Powiat jaworski	Jawor
36	Dolnośląskie	Powiat jaworski	Bolków - miasto	Dolnośląskie	Powiat jaworski	Bolków - obszar wiejski
11	Dolnośląskie	Powiat jaworski	Bolków - miasto	Dolnośląskie	Powiat jaworski	Paszowice
50	Dolnośląskie	Powiat jaworski	Bolków - miasto	Dolnośląskie	Powiat jeleniogórski	Janowice Wielkie
28	Dolnośląskie	Powiat jaworski	Bolków - miasto	Dolnośląskie	Powiat kamiennogórski	Kamienna Góra
14	Dolnośląskie	Powiat jaworski	Bolków - miasto	Dolnośląskie	Powiat świdnicki	Świebodzice
39	Dolnośląskie	Powiat jaworski	Bolków - miasto	Dolnośląskie	Powiat świdnicki	Dobromierz
21	Dolnośląskie	Powiat jaworski	Bolków - miasto	Dolnośląskie	Powiat świdnicki	Strzegom - obszar wiejski
52	Dolnośląskie	Powiat jaworski	Bolków - miasto	Dolnośląskie	Powiat wałbrzyski	Wałbrzych
37	Dolnośląskie	Powiat jaworski	Bolków - miasto	Dolnośląskie	Powiat m.Jelenia Góra	Jelenia Góra
23	Dolnośląskie	Powiat jaworski	Bolków - miasto	Dolnośląskie	Powiat m.Legnica	Legnica
53	Dolnośląskie	Powiat jaworski	Bolków - miasto	Dolnośląskie	Powiat m.Wrocław	Wrocław
55	Dolnośląskie	Powiat jaworski	Bolków - obszar wiejski	Dolnośląskie	Powiat jaworski	Jawor
154	Dolnośląskie	Powiat jaworski	Bolków - obszar wiejski	Dolnośląskie	Powiat jaworski	Bolków - miasto
12	Dolnośląskie	Powiat jaworski	Bolków - obszar wiejski	Dolnośląskie	Powiat jaworski	Paszowice
103	Dolnośląskie	Powiat jaworski	Bolków - obszar wiejski	Dolnośląskie	Powiat jeleniogórski	Janowice Wielkie
13	Dolnośląskie	Powiat jaworski	Bolków - obszar wiejski	Dolnośląskie	Powiat kamiennogórski	Kamienna Góra
15	Dolnośląskie	Powiat jaworski	Bolków - obszar wiejski	Dolnośląskie	Powiat świdnicki	Świebodzice
33	Dolnośląskie	Powiat jaworski	Bolków - obszar wiejski	Dolnośląskie	Powiat świdnicki	Dobromierz
12	Dolnośląskie	Powiat jaworski	Bolków - obszar wiejski	Dolnośląskie	Powiat świdnicki	Strzegom - miasto
11	Dolnośląskie	Powiat jaworski	Bolków - obszar wiejski	Dolnośląskie	Powiat świdnicki	Strzegom - obszar wiejski
45	Dolnośląskie	Powiat jaworski	Bolków - obszar wiejski	Dolnośląskie	Powiat wałbrzyski	Wałbrzych
95	Dolnośląskie	Powiat jaworski	Bolków - obszar wiejski	Dolnośląskie	Powiat m.Jelenia Góra	Jelenia Góra
37	Dolnośląskie	Powiat jaworski	Bolków - obszar wiejski	Dolnośląskie	Powiat m.Wrocław	Wrocław
254	Dolnośląskie	Powiat jaworski	Męcinka	Dolnośląskie	Powiat jaworski	Jawor
11	Dolnośląskie	Powiat jaworski	Męcinka	Dolnośląskie	Powiat jaworski	Mściwojów
25	Dolnośląskie	Powiat jaworski	Męcinka	Dolnośląskie	Powiat jaworski	Paszowice
12	Dolnośląskie	Powiat jaworski	Męcinka	Dolnośląskie	Powiat lubiński	Lubin
10	Dolnośląskie	Powiat jaworski	Męcinka	Dolnośląskie	Powiat polkowicki	Polkowice - miasto
15	Dolnośląskie	Powiat jaworski	Męcinka	Dolnośląskie	Powiat świdnicki	Strzegom - obszar wiejski
18	Dolnośląskie	Powiat jaworski	Męcinka	Dolnośląskie	Powiat złotoryjski	Złotoryja
141	Dolnośląskie	Powiat jaworski	Męcinka	Dolnośląskie	Powiat m.Legnica	Legnica
48	Dolnośląskie	Powiat jaworski	Męcinka	Dolnośląskie	Powiat m.Wrocław	Wrocław
11	Dolnośląskie	Powiat jaworski	Męcinka	Wielkopolskie	Powiat poznański	Dopiewo
207	Dolnośląskie	Powiat jaworski	Mściwojów	Dolnośląskie	Powiat jaworski	Jawor
12	Dolnośląskie	Powiat jaworski	Mściwojów	Dolnośląskie	Powiat jaworski	Męcinka
15	Dolnośląskie	Powiat jaworski	Mściwojów	Dolnośląskie	Powiat jaworski	Paszowice
16	Dolnośląskie	Powiat jaworski	Mściwojów	Dolnośląskie	Powiat legnicki	Legnickie Pole
18	Dolnośląskie	Powiat jaworski	Mściwojów	Dolnośląskie	Powiat świdnicki	Dobromierz
20	Dolnośląskie	Powiat jaworski	Mściwojów	Dolnośląskie	Powiat świdnicki	Strzegom - miasto
37	Dolnośląskie	Powiat jaworski	Mściwojów	Dolnośląskie	Powiat świdnicki	Strzegom - obszar wiejski
32	Dolnośląskie	Powiat jaworski	Mściwojów	Dolnośląskie	Powiat wrocławski	Kobierzyce
71	Dolnośląskie	Powiat jaworski	Mściwojów	Dolnośląskie	Powiat m.Legnica	Legnica
39	Dolnośląskie	Powiat jaworski	Mściwojów	Dolnośląskie	Powiat m.Wrocław	Wrocław
249	Dolnośląskie	Powiat jaworski	Paszowice	Dolnośląskie	Powiat jaworski	Jawor
17	Dolnośląskie	Powiat jaworski	Paszowice	Dolnośląskie	Powiat jaworski	Bolków - miasto
11	Dolnośląskie	Powiat jaworski	Paszowice	Dolnośląskie	Powiat jaworski	Mściwojów
31	Dolnośląskie	Powiat jaworski	Paszowice	Dolnośląskie	Powiat świdnicki	Dobromierz
13	Dolnośląskie	Powiat jaworski	Paszowice	Dolnośląskie	Powiat świdnicki	Strzegom - obszar wiejski
11	Dolnośląskie	Powiat jaworski	Paszowice	Dolnośląskie	Powiat wałbrzyski	Wałbrzych
12	Dolnośląskie	Powiat jaworski	Paszowice	Dolnośląskie	Powiat wrocławski	Kobierzyce
52	Dolnośląskie	Powiat jaworski	Paszowice	Dolnośląskie	Powiat m.Legnica	Legnica
37	Dolnośląskie	Powiat jaworski	Paszowice	Dolnośląskie	Powiat m.Wrocław	Wrocław
58	Dolnośląskie	Powiat jaworski	Wądroże Wielkie	Dolnośląskie	Powiat jaworski	Jawor
11	Dolnośląskie	Powiat jaworski	Wądroże Wielkie	Dolnośląskie	Powiat jaworski	Mściwojów
38	Dolnośląskie	Powiat jaworski	Wądroże Wielkie	Dolnośląskie	Powiat legnicki	Legnickie Pole
11	Dolnośląskie	Powiat jaworski	Wądroże Wielkie	Dolnośląskie	Powiat legnicki	Ruja
22	Dolnośląskie	Powiat jaworski	Wądroże Wielkie	Dolnośląskie	Powiat średzki	Miękinia
12	Dolnośląskie	Powiat jaworski	Wądroże Wielkie	Dolnośląskie	Powiat średzki	Środa Śląska - miasto
12	Dolnośląskie	Powiat jaworski	Wądroże Wielkie	Dolnośląskie	Powiat średzki	Środa Śląska - obszar wiejski
12	Dolnośląskie	Powiat jaworski	Wądroże Wielkie	Dolnośląskie	Powiat średzki	Udanin
17	Dolnośląskie	Powiat jaworski	Wądroże Wielkie	Dolnośląskie	Powiat świdnicki	Strzegom - miasto
90	Dolnośląskie	Powiat jaworski	Wądroże Wielkie	Dolnośląskie	Powiat wrocławski	Kobierzyce
92	Dolnośląskie	Powiat jaworski	Wądroże Wielkie	Dolnośląskie	Powiat m.Legnica	Legnica
45	Dolnośląskie	Powiat jaworski	Wądroże Wielkie	Dolnośląskie	Powiat m.Wrocław	Wrocław
38	Dolnośląskie	Powiat jaworski	Wądroże Wielkie	Wielkopolskie	Powiat rawicki	Rawicz - obszar wiejski
33	Dolnośląskie	Powiat jeleniogórski	Karpacz	Dolnośląskie	Powiat jeleniogórski	Kowary
13	Dolnośląskie	Powiat jeleniogórski	Karpacz	Dolnośląskie	Powiat jeleniogórski	Mysłakowice
32	Dolnośląskie	Powiat jeleniogórski	Karpacz	Dolnośląskie	Powiat jeleniogórski	Podgórzyn
20	Dolnośląskie	Powiat jeleniogórski	Karpacz	Dolnośląskie	Powiat kłodzki	Polanica-Zdrój
83	Dolnośląskie	Powiat jeleniogórski	Karpacz	Dolnośląskie	Powiat m.Jelenia Góra	Jelenia Góra
30	Dolnośląskie	Powiat jeleniogórski	Karpacz	Dolnośląskie	Powiat m.Wrocław	Wrocław
13	Dolnośląskie	Powiat jeleniogórski	Karpacz	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
12	Dolnośląskie	Powiat jeleniogórski	Karpacz	Zachodniopomorskie	Powiat gryficki	Rewal
181	Dolnośląskie	Powiat jeleniogórski	Kowary	Dolnośląskie	Powiat jeleniogórski	Karpacz
84	Dolnośląskie	Powiat jeleniogórski	Kowary	Dolnośląskie	Powiat jeleniogórski	Mysłakowice
38	Dolnośląskie	Powiat jeleniogórski	Kowary	Dolnośląskie	Powiat jeleniogórski	Podgórzyn
13	Dolnośląskie	Powiat jeleniogórski	Kowary	Dolnośląskie	Powiat kamiennogórski	Kamienna Góra
21	Dolnośląskie	Powiat jeleniogórski	Kowary	Dolnośląskie	Powiat wałbrzyski	Wałbrzych
276	Dolnośląskie	Powiat jeleniogórski	Kowary	Dolnośląskie	Powiat m.Jelenia Góra	Jelenia Góra
11	Dolnośląskie	Powiat jeleniogórski	Kowary	Dolnośląskie	Powiat m.Legnica	Legnica
98	Dolnośląskie	Powiat jeleniogórski	Kowary	Dolnośląskie	Powiat m.Wrocław	Wrocław
28	Dolnośląskie	Powiat jeleniogórski	Kowary	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
11	Dolnośląskie	Powiat jeleniogórski	Kowary	Śląskie	Powiat m.Siemianowice Śląskie	Siemianowice Śląskie
25	Dolnośląskie	Powiat jeleniogórski	Kowary	Zachodniopomorskie	Powiat gryficki	Rewal
